video_id,title,description,publish_date,keywords,length_seconds,views,likes,url
iaWPdj1SgOs,set comprehensions | Բաժին 24.13 | Python Profound խնդիրներ,"Խնդրի հղումը՝ 
https://profound.academy/hy/python-introduction/set-comprehension-FLYmikuulDmONp89I04A
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
01:32 կոդի սկիզբ",2025-06-19 06:59:17-07:00,[],332,14,,https://youtube.com/watch?v=iaWPdj1SgOs
in_I8Di0CDM,set-ին տարր ավելացնելը | Բաժին 24.10 | Python Profound խնդիրներ,"Խնդրի հղումը՝ 
https://profound.academy/hy/python-introduction/set-KfAxo0RdGOXEYXWM3kWu
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
02:15 կոդի սկիզբ",2025-06-19 06:57:27-07:00,[],265,31,,https://youtube.com/watch?v=in_I8Di0CDM
qo7aW1FZaYc,Աշխատում ենք tuple-ների հետ | Բաժին 24.6 | Python Profound խնդիրներ,"Խնդրի հղումը՝ 
https://profound.academy/hy/python-introduction/a-tuple-IuFJ61f7ljVeoZWwIK1f
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:30 կոդի սկիզբ",2025-06-19 06:57:11-07:00,[],56,14,,https://youtube.com/watch?v=qo7aW1FZaYc
evIrApR1vOw,"tuple-ին վերագրումներ | Բաժին 24.2, 3 | Python Profound խնդիրներ","Խնդրի հղումը՝ 
https://profound.academy/hy/python-introduction/tuple-vKVE11LSwjkeN7CQ89gZ

https://profound.academy/hy/python-introduction/tuple-2-YR57wbWHAOSa3AtFB5CG
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:11 tuple-ին վերագրում 1
00:55 tuple-ին վերագրում 2",2025-06-19 06:54:58-07:00,[],184,15,,https://youtube.com/watch?v=evIrApR1vOw
J1ueuro0-yU,tuple-ի ստացումը ցուցակից | Բաժին 24.2 | Python Profound խնդիրներ,"Խնդրի հղումը՝ 
https://profound.academy/hy/python-introduction/tuple-8wLmuB3hAoTK4hH5m53a
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:30 կոդի սկիզբ",2025-06-19 06:53:09-07:00,[],193,9,,https://youtube.com/watch?v=J1ueuro0-yU
